85	80	34	86	89	93	42	0	12	60	56	52	100	38	38	100	31	1	68	57	61	95	61	14	25	6	31	78	15	83	92	18	2	58	36	36	48	42	53	79	90	32	12	17	80	37	31	52	77	51
10	8	17	4	23	90	19	19	60	83	62	65	86	29	69	37	50	41	1	2	52	90	48	90	67	29	82	43	35	89	75	80	1	65	73	84	1	99	35	47	16	29	82	71	16	25	47	84	49	42
87	91	50	74	99	20	60	27	37	94	7	77	84	72	8	83	63	21	57	85	36	52	5	55	86	22	8	78	73	41	83	99	94	93	1	85	30	27	66	52	24	74	61	41	39	40	45	9	63	34
62	25	27	65	6	35	85	95	88	77	12	82	54	97	11	9	83	92	70	23	53	36	56	4	60	62	92	64	15	46	78	99	15	39	79	57	71	29	87	67	0	35	39	89	40	42	20	64	30	30
57	54	40	39	82	26	70	23	4	44	44	20	79	42	99	13	67	15	17	54	38	54	4	3	23	17	97	67	64	18	42	27	34	86	90	23	59	76	58	52	87	48	24	42	22	81	56	98	90	27
75	4	47	77	92	2	49	36	16	64	30	3	59	86	2	16	87	94	52	76	54	91	58	65	67	91	29	63	81	43	62	99	77	37	43	37	81	57	95	87	75	22	60	94	22	84	90	38	40	6
94	63	45	14	73	84	47	82	9	1	74	87	56	74	2	31	27	22	43	65	36	29	99	66	0	32	31	64	43	84	0	91	22	75	49	99	53	62	64	59	90	100	48	94	13	89	66	87	91	91
57	67	96	75	70	65	64	80	14	40	53	83	38	26	0	83	64	82	24	3	78	65	58	84	75	37	81	5	52	12	66	45	73	52	26	34	96	48	4	84	35	74	48	23	6	7	61	21	93	31
24	85	62	88	13	92	8	12	100	33	84	59	28	1	75	8	9	86	100	67	88	15	77	41	69	4	17	35	77	68	76	59	12	21	89	81	83	86	39	35	25	83	49	72	100	76	45	46	49	99
98	76	21	26	43	8	8	21	19	8	74	74	35	31	58	24	46	6	13	94	25	24	47	65	41	4	67	5	41	93	59	71	86	79	71	0	37	86	78	80	73	62	66	30	61	51	48	17	14	75
30	39	33	55	73	73	28	57	85	39	42	3	81	27	50	2	89	57	60	57	87	61	29	34	21	64	58	16	4	91	57	50	91	66	62	20	38	30	5	99	72	81	0	39	37	69	81	39	81	58
62	91	57	57	88	69	10	99	34	8	14	12	52	95	83	93	12	15	65	29	65	58	51	62	86	6	60	90	97	52	83	19	35	47	28	66	93	34	78	93	10	39	96	98	84	59	29	6	57	45
